1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 c5 5. Bg2 Qa5+ ;3;Karpov - Kasparov, 1987 (E60)
1. d4 Nf6 2. c4 g6 3. g3 c5 4. Nf3 cxd4 5. Nxd4 Qc7 ;1;Karpov - Kasparov, 1987 (E60)
1. d4 Nf6 2. c4 g6 3. g3 c6 4. Nf3 Bg7 5. Bg2 d5 ;6;Karpov - Kasparov, 1987 (D79)
1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6 4. g3 Bb4 5. Bg2 O-O ;25;Kasparov - Karpov, 1987 (A29)
1. d4 Nf6 2. c4 g6 3. g3 c6 4. Bg2 d5 5. cxd5 cxd5 ;29;Karpov - Kasparov, 1987 (D79)
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 ;365;Karpov - Kasparov, 1987 (D87)
1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. Rb1 Bf5 ;1;Kasparov - Karpov, 1987 (A25)
1. c4 e5 2. Nc3 d6 3. g3 c5 4. Bg2 Nc6 5. a3 g6 ;1;Kasparov - Karpov, 1987 (A36)
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 ;15;Kasparov - Karpov, 1987 (B17)
1. c4 e6 2. Nc3 d5 3. d4 Be7 4. cxd5 exd5 5. Bf4 Nf6 ;7;Kasparov - Karpov, 1987 (D35)
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. cxd5 Nxd5 ;36;Karpov - Kasparov, 1987 (D85)
1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bb4 5. Bg2 O-O ;17;Kasparov - Karpov, 1987 (A29)
1. Nf3 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. d4 O-O ;57;Karpov - Kasparov, 1987 (E97)
1. c4 e6 2. Nc3 d5 3. d4 Be7 4. Nf3 Nf6 5. Bg5 h6 ;1;Kasparov - Karpov, 1987 (D58)
1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. Nc3 Be7 5. Bg5 O-O ;2;Karpov - Kasparov, 1987 (D58)
1. c4 e6 2. Nc3 d5 3. d4 Be7 4. Nf3 Nf6 5. Qc2 O-O ;1;Kasparov - Karpov, 1987 (D53)
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bf4 O-O ;291;Kasparov - Karpov, 1987 (D37)
1. c4 c5 2. Nf3 Nf6 3. Nc3 d5 4. cxd5 Nxd5 5. d4 Nxc3 ;2;Karpov - Kasparov, 1987 (A34)
1. c4 e6 2. Nf3 Nf6 3. g3 d5 4. b3 Be7 5. Bg2 O-O ;1;Kasparov - Karpov, 1987 (A14)
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 d5 5. cxd5 Nxd5 ;10;Karpov - Kasparov, 1988 (D76)
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 ;3;Kasparov - Karpov, 1988 (B17)
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Ng5 Ngf6 ;10;Kasparov - Karpov, 1988 (B17)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. a3 Bxc3+ ;150;Karpov - Kasparov, 1988 (E32)
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O ;157;Karpov - Kasparov, 1989 (E97)
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O ;36;Karpov - Kasparov, 1990 (E81)
1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Ne4 5. Qxd4 d5 ;4;Kasparov - Karpov, 1990 (C43)
